label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.0,0.0,0.0,-0.07011210918426514,-0.025256454944610596,-0.019564833805418402,-0.13567358255386353,-0.13040530681610107,-0.025007056385732085,-0.18341392278671265,-0.21231812238693237,-0.03173561425552407,-0.22717517614364624,-0.24601519107818604,-0.03385573284373322,-0.12252426147460938,-0.2207735776901245,0.005824517145299524,-0.14437192678451538,-0.2876363694667816,-0.020917611510014922,-0.12093251943588257,-0.2118779420852661,-0.03533234851107636,-0.10616302490234375,-0.18128913640975952,-0.04144144089565316,-0.08665376901626587,-0.24824309349060059,0.004290482647263616,-0.1047978401184082,-0.3131601810455322,-0.0221680331383709,-0.08035099506378174,-0.21414539217948914,-0.0268228150312666,-0.06871390342712402,-0.18612360954284668,-0.023240475297427565,-0.04456913471221924,-0.26335060596466064,-0.0032214632597629134,-0.06072831153869629,-0.3365529775619507,-0.03127142445788422,-0.04377126693725586,-0.23342585563659668,-0.021136550546145827,-0.0350719690322876,-0.1919630765914917,-0.006791564017987639,-0.0015729069709777832,-0.2682029604911804,-0.012723482527292163,-0.016244173049926758,-0.32765862345695496,-0.028849730581498534,-0.011980116367340088,-0.2568228840827942,-0.018519873112893492,-0.006290614604949951,-0.22157099843025208,-0.0060925701041583125
A,0.0,0.0,0.0,-0.07029521465301514,-0.027038365602493286,-0.019655762055094783,-0.13804960250854492,-0.1321238875389099,-0.025494817459161823,-0.18843722343444824,-0.21531611680984497,-0.032769404166515415,-0.23371940851211548,-0.24851757287979126,-0.03514475356894309,-0.12673068046569824,-0.22695791721343994,0.005569665412281211,-0.1481432318687439,-0.29885251820087433,-0.02234903890746409,-0.12185144424438477,-0.22071510553359985,-0.0371789930399018,-0.10684627294540405,-0.18922218680381775,-0.04340415801959807,-0.08899277448654175,-0.253297358751297,0.00371226942991143,-0.106528639793396,-0.3221856355667114,-0.023463692330892627,-0.07980930805206299,-0.21989771723747253,-0.028366153874571864,-0.06977909803390503,-0.19126233458518982,-0.024971149676616733,-0.04550325870513916,-0.2683979719877243,-0.0041422981779533075,-0.06073319911956787,-0.34178420901298523,-0.032409041934784,-0.042086899280548096,-0.23546648025512695,-0.02108105998593146,-0.03491765260696411,-0.19381189346313477,-0.005933710654403512,-0.0013219118118286133,-0.2731628268957138,-0.014029646107132976,-0.015943169593811035,-0.33616407215595245,-0.029327463173444812,-0.01083827018737793,-0.2620239555835724,-0.01723717507081801,-0.006131172180175781,-0.2243753969669342,-0.003665390006403868
A,0.0,0.0,0.0,-0.07368463277816772,-0.029560208320617676,-0.020977903017893595,-0.14181727170944214,-0.13757109642028809,-0.027152487868562503,-0.1936877965927124,-0.2185378074645996,-0.03474928238441066,-0.24033546447753906,-0.24996453523635864,-0.03723770552326755,-0.12771588563919067,-0.22967183589935303,0.006659159576400953,-0.15028494596481323,-0.30214227735996246,-0.021845649788275523,-0.12298613786697388,-0.22268468141555786,-0.037944318587079806,-0.10768747329711914,-0.191737562417984,-0.0451392101590784,-0.08990687131881714,-0.2577483355998993,0.005452738283082681,-0.10949933528900146,-0.3255920708179474,-0.021518383035555644,-0.08304649591445923,-0.22528493404388428,-0.027068758243814273,-0.07246416807174683,-0.19857007265090942,-0.02452028342534618,-0.04659837484359741,-0.2736974358558655,-0.0020809663460852335,-0.0639657974243164,-0.3473833501338959,-0.030516730481878085,-0.04544353485107422,-0.24263975024223328,-0.019794648373618884,-0.03669917583465576,-0.20004555583000183,-0.005163938133165402,-0.0030784010887145996,-0.27979378402233124,-0.011807172419622702,-0.01836681365966797,-0.33896076679229736,-0.02730213091720657,-0.012659788131713867,-0.2671177387237549,-0.01584342666913585,-0.00613248348236084,-0.2309628427028656,-0.0027677382809372375
A,0.0,0.0,0.0,-0.07315796613693237,-0.030334055423736572,-0.021771703929431396,-0.14337974786758423,-0.139003187417984,-0.028699659825093704,-0.19598424434661865,-0.22260740399360657,-0.03700796057356115,-0.24290049076080322,-0.25486668944358826,-0.040186404333240944,-0.12990325689315796,-0.23421460390090942,0.0033879365410882656,-0.15280330181121826,-0.3091886341571808,-0.025263859973080116,-0.1261141300201416,-0.2320156991481781,-0.04029076089037176,-0.11024582386016846,-0.19953390955924988,-0.04650711555851217,-0.09117788076400757,-0.26311734318733215,0.002572131726168436,-0.11061465740203857,-0.3330840617418289,-0.025534938172228294,-0.08374255895614624,-0.23336905241012573,-0.030912756071217018,-0.07321047782897949,-0.2043975293636322,-0.028130184010393577,-0.04688519239425659,-0.28068242967128754,-0.004476877012081104,-0.06550800800323486,-0.35767920315265656,-0.033723748371727424,-0.046719133853912354,-0.25189268589019775,-0.023676346138842064,-0.03797262907028198,-0.2052856981754303,-0.009404259816534477,-0.002487361431121826,-0.28840604424476624,-0.013786532998807388,-0.01970309019088745,-0.3532966375350952,-0.03026577559185739,-0.015594184398651123,-0.28270764648914337,-0.02023731459749456,-0.010177910327911377,-0.24227508902549744,-0.008206508205063301
A,0.0,0.0,0.0,-0.07438760995864868,-0.029835492372512817,-0.02217213479042357,-0.14544308185577393,-0.1353139877319336,-0.029866891402605233,-0.1998690366744995,-0.2181198000907898,-0.038596295241120515,-0.24676328897476196,-0.2517312914133072,-0.04210348469376868,-0.13400954008102417,-0.2363397479057312,0.0030294212495505235,-0.15419799089431763,-0.309985026717186,-0.024422018278244195,-0.12710297107696533,-0.23163855075836182,-0.038603030565980134,-0.1127314567565918,-0.20169469714164734,-0.044742580924037156,-0.09432631731033325,-0.2662304490804672,0.0024932548852234504,-0.11225283145904541,-0.33607275784015656,-0.024617711502912698,-0.08515185117721558,-0.23406440019607544,-0.02985270363450354,-0.0770653486251831,-0.2053445279598236,-0.027333079326751886,-0.048970580101013184,-0.28343307971954346,-0.00407318207606977,-0.0667189359664917,-0.3600006699562073,-0.033052366647723375,-0.04663807153701782,-0.25027164816856384,-0.023229210126999078,-0.03969484567642212,-0.2043556571006775,-0.00946095627904242,-0.003991067409515381,-0.28957660496234894,-0.012754531066718755,-0.02096611261367798,-0.34829404950141907,-0.029695643532875238,-0.013984441757202148,-0.27446359395980835,-0.019911537367704568,-0.007961511611938477,-0.23590782284736633,-0.008070125665369687
A,0.0,0.0,0.0,-0.07059210538864136,-0.024325311183929443,-0.023720701738312755,-0.14215093851089478,-0.12483200430870056,-0.03283327962370208,-0.19709652662277222,-0.20680373907089233,-0.04283381770463279,-0.24263757467269897,-0.24420350790023804,-0.047538389965012584,-0.12953776121139526,-0.23216354846954346,0.0005089073781334719,-0.1515635848045349,-0.3136209547519684,-0.027259598999336276,-0.12678837776184082,-0.23407480120658875,-0.04021483059139541,-0.11282098293304443,-0.19876816868782043,-0.04495680849166206,-0.09072458744049072,-0.2616972178220749,0.0007903090551906189,-0.10883522033691406,-0.3341725915670395,-0.02676995429308704,-0.08277612924575806,-0.23089182376861572,-0.030872053979948078,-0.07452702522277832,-0.2016196846961975,-0.027231463744357143,-0.04660230875015259,-0.27999407052993774,-0.0051455721734612325,-0.063121497631073,-0.36013226211071014,-0.03547053183527282,-0.044289469718933105,-0.2498828023672104,-0.025430095895245586,-0.03836715221405029,-0.20381620526313782,-0.011099033570900474,-0.0022992491722106934,-0.28809264302253723,-0.013191100723162208,-0.01742631196975708,-0.353153720498085,-0.032058393164589916,-0.011532902717590332,-0.2749636024236679,-0.02259667175920299,-0.007117092609405518,-0.23175033926963806,-0.010519175372138534
A,0.0,0.0,0.0,-0.0743064284324646,-0.025529146194458008,-0.022972768427621304,-0.14680951833724976,-0.1260608434677124,-0.03222769151796001,-0.2026563286781311,-0.20463725924491882,-0.04268101255763668,-0.249445378780365,-0.2411276400089264,-0.04790955807436603,-0.13271111249923706,-0.2354106605052948,0.0010162984032149325,-0.15480613708496094,-0.31168898940086365,-0.02815962794591087,-0.12895292043685913,-0.23250353336334229,-0.042897861705910145,-0.1143951416015625,-0.19926384091377258,-0.048639260487448155,-0.09280693531036377,-0.2643744498491287,0.0006807209935004721,-0.11167824268341064,-0.33556491136550903,-0.02765283945370811,-0.08450335264205933,-0.23202595114707947,-0.0328676144348492,-0.07594448328018188,-0.20158901810646057,-0.029896157117377697,-0.04735434055328369,-0.283008337020874,-0.005878982389162957,-0.06610757112503052,-0.3621753454208374,-0.03584419216383594,-0.04545968770980835,-0.24994811415672302,-0.026039704935442387,-0.03805124759674072,-0.20135512948036194,-0.011900290170501648,-0.0019112229347229004,-0.29167744517326355,-0.0145970948727836,-0.020079195499420166,-0.3545687347650528,-0.03239759455789226,-0.013194561004638672,-0.278725266456604,-0.022718133659850537,-0.007406711578369141,-0.23719817399978638,-0.010592184284519135
A,0.0,0.0,0.0,-0.07397067546844482,-0.03332096338272095,-0.023269100547395283,-0.14585089683532715,-0.1338179111480713,-0.03332292890604549,-0.20376276969909668,-0.21293002367019653,-0.04481114676650577,-0.25117212533950806,-0.2503224313259125,-0.050619142562709385,-0.13369834423065186,-0.24381610751152039,-0.0001237892827248288,-0.154582679271698,-0.32635292410850525,-0.0287878946071487,-0.1280561089515686,-0.24583131074905396,-0.04133575266655498,-0.11473262310028076,-0.20861506462097168,-0.045214696288667255,-0.09368777275085449,-0.2713889628648758,-0.000634383260830873,-0.11233586072921753,-0.3464263379573822,-0.029333157897553974,-0.08489429950714111,-0.24059012532234192,-0.034143062741122776,-0.07744187116622925,-0.20928460359573364,-0.030728128240070873,-0.047800302505493164,-0.28952187299728394,-0.007303875372372204,-0.06639206409454346,-0.37374740839004517,-0.03759282684382015,-0.04703843593597412,-0.26096610724925995,-0.027647402570210033,-0.04125642776489258,-0.21171367168426514,-0.013263537981174522,-0.0025576353073120117,-0.2972022742033005,-0.01616204387005382,-0.018252193927764893,-0.3681095093488693,-0.033675974667630726,-0.013327300548553467,-0.292815163731575,-0.023683211267552906,-0.009288191795349121,-0.24828362464904785,-0.011376470760069424
A,0.0,0.0,0.0,-0.07402670383453369,-0.029852688312530518,-0.023296434257758847,-0.1460115909576416,-0.12696188688278198,-0.03413077985180735,-0.20284777879714966,-0.20445305109024048,-0.04617940803302645,-0.24947720766067505,-0.24253207445144653,-0.05278583039773821,-0.13338923454284668,-0.23787802457809448,-0.003205849614573708,-0.15240484476089478,-0.31732600927352905,-0.031671574164761296,-0.12590783834457397,-0.23795679211616516,-0.04370513727201342,-0.11255413293838501,-0.20034000277519226,-0.04744975437654375,-0.0924077033996582,-0.2650003433227539,-0.004095730662925234,-0.10956889390945435,-0.3384137451648712,-0.03297570144070505,-0.08238369226455688,-0.23359078168869019,-0.03769186680449366,-0.07547760009765625,-0.20163023471832275,-0.03452534024847864,-0.046305060386657715,-0.28271186351776123,-0.01079444010986208,-0.06367534399032593,-0.36558152735233307,-0.041358457703722706,-0.044311344623565674,-0.2532254755496979,-0.03078548965288519,-0.039392292499542236,-0.20337456464767456,-0.01627808791829466,-0.001246333122253418,-0.28943830728530884,-0.01960113254619955,-0.016345441341400146,-0.357994943857193,-0.037753147829903355,-0.011217057704925537,-0.28167200088500977,-0.027350263495577565,-0.008047044277191162,-0.2367914617061615,-0.014858615410162201
A,0.0,0.0,0.0,-0.074596107006073,-0.030503183603286743,-0.023981115362374794,-0.14733976125717163,-0.12722507119178772,-0.03460075385007144,-0.2054349184036255,-0.2039983570575714,-0.04605555213126422,-0.2515717148780823,-0.2410786747932434,-0.051839761948912155,-0.13496822118759155,-0.23516792058944702,-0.005171716260491621,-0.15403175354003906,-0.31851430237293243,-0.03238854236039401,-0.12645572423934937,-0.23722070455551147,-0.04259609109791995,-0.11374878883361816,-0.2004917562007904,-0.04535481757554294,-0.09384697675704956,-0.2626500278711319,-0.005470217718510639,-0.1111794114112854,-0.3386056274175644,-0.033831652766792786,-0.08365535736083984,-0.23207038640975952,-0.037798408931820404,-0.07823377847671509,-0.20032638311386108,-0.03425601176056148,-0.047878146171569824,-0.28092481195926666,-0.011391256517498505,-0.06440889835357666,-0.3641054630279541,-0.04195375419291736,-0.044831156730651855,-0.25116148591041565,-0.03134802407655002,-0.04096919298171997,-0.20230743288993835,-0.01687394878896953,-0.0032165050506591797,-0.28835465013980865,-0.019379180437653076,-0.01729893684387207,-0.3588790148496628,-0.037849586969940674,-0.012101173400878906,-0.28180885314941406,-0.02764035440119983,-0.00985485315322876,-0.2359791398048401,-0.015350524849026215
